"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"GO_BP:751342_GO_0038084_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY","GO_BP","751342_GO_0038084_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY",14,-1.5185,0.049,0.099,-0.8937,0.58,1,-1.2486,0.18,0.68
"C2_Chemical_and_genetic_perturbations:C2_CGP_1573_ABBUD_LIF_SIGNALING_2_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1573_ABBUD_LIF_SIGNALING_2_DN",7,-1.5184,0.049,0.056,1.2766,0.19,0.42,-1.1881,0.28,0.53
"GO_MF:494614_GO_0051879_HSP90_PROTEIN_BINDING","GO_MF","494614_GO_0051879_HSP90_PROTEIN_BINDING",19,-1.5184,0.052,0.13,0.8117,0.73,1,-1.4353,0.076,0.44
"GO_BP:494659_GO_0010595_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GO_BP","494659_GO_0010595_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION",59,-1.5183,0.021,0.099,-0.915,0.62,1,0.9928,0.44,0.86
"GO_MF:490490_GO_0005261_CATION_CHANNEL_ACTIVITY","GO_MF","490490_GO_0005261_CATION_CHANNEL_ACTIVITY",287,-1.5183,0,0.13,-1.5817,0,0.45,1.1559,0.12,0.77
"C2_Chemical_and_genetic_perturbations:C2_CGP_821_WEINMANN_ADAPTATION_TO_HYPOXIA_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_821_WEINMANN_ADAPTATION_TO_HYPOXIA_UP",28,-1.5182,0.034,0.057,-0.8215,0.77,1,-0.897,0.58,0.88
"GO_BP:498819_GO_0021535_CELL_MIGRATION_IN_HINDBRAIN","GO_BP","498819_GO_0021535_CELL_MIGRATION_IN_HINDBRAIN",13,-1.5182,0.05,0.099,0.5374,0.98,1,-1.3499,0.13,0.61
"GO_MF:754436_GO_1901476_CARBOHYDRATE_TRANSPORTER_ACTIVITY","GO_MF","754436_GO_1901476_CARBOHYDRATE_TRANSPORTER_ACTIVITY",33,-1.5182,0.03,0.13,-1.0668,0.34,0.86,-0.9998,0.48,0.78
"C7_Immunologic_signatures:C7_ALL_401_GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP","C7_Immunologic_signatures","C7_ALL_401_GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_UP",193,-1.5182,0.0011,0.0049,-1.0067,0.42,1,-1.2115,0.074,0.26
"GO_BP:512774_GO_0051924_REGULATION_OF_CALCIUM_ION_TRANSPORT","GO_BP","512774_GO_0051924_REGULATION_OF_CALCIUM_ION_TRANSPORT",183,-1.5181,0.0011,0.1,-1.1286,0.19,0.93,1.173,0.12,0.72
"C2_Chemical_and_genetic_perturbations:C2_CGP_3255_PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2","C2_Chemical_and_genetic_perturbations","C2_CGP_3255_PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2",76,-1.518,0.011,0.057,0.691,0.99,1,1.3922,0.042,0.55
"C7_Immunologic_signatures:C7_ALL_1633_GSE3982_DC_VS_BASOPHIL_UP","C7_Immunologic_signatures","C7_ALL_1633_GSE3982_DC_VS_BASOPHIL_UP",196,-1.518,0.0024,0.0049,-0.7662,0.97,1,0.9867,0.48,1
"GO_BP:492281_GO_0007528_NEUROMUSCULAR_JUNCTION_DEVELOPMENT","GO_BP","492281_GO_0007528_NEUROMUSCULAR_JUNCTION_DEVELOPMENT",42,-1.5178,0.028,0.1,-1.0238,0.4,0.97,-0.7872,0.81,0.99
"C2_Chemical_and_genetic_perturbations:C2_CGP_2646_FERRANDO_HOX11_NEIGHBORS","C2_Chemical_and_genetic_perturbations","C2_CGP_2646_FERRANDO_HOX11_NEIGHBORS",23,-1.5178,0.036,0.057,0.7994,0.77,0.99,-1.1631,0.27,0.56
"GO_BP:515563_GO_0070633_TRANSEPITHELIAL_TRANSPORT","GO_BP","515563_GO_0070633_TRANSEPITHELIAL_TRANSPORT",13,-1.5177,0.035,0.1,-0.7744,0.78,1,0.7843,0.76,1
"GO_BP:518417_GO_0090277_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION","GO_BP","518417_GO_0090277_POSITIVE_REGULATION_OF_PEPTIDE_HORMONE_SECRETION",64,-1.5176,0.017,0.1,0.7461,0.92,1,-0.8213,0.8,0.97
"GO_BP:495833_GO_0015698_INORGANIC_ANION_TRANSPORT","GO_BP","495833_GO_0015698_INORGANIC_ANION_TRANSPORT",171,-1.5176,0.0023,0.1,-1.0244,0.38,0.97,-1.13,0.18,0.75
"GO_BP:500531_GO_0031272_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY","GO_BP","500531_GO_0031272_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY",13,-1.5176,0.051,0.1,-1.0867,0.38,0.95,-1.1714,0.29,0.73
"C4_Cancer_modules:C4_CM_163_MODULE_173","C4_Cancer_modules","C4_CM_163_MODULE_173",16,-1.5175,0.042,0.05,0.7889,0.74,0.98,0.9688,0.51,0.98
"C2_Chemical_and_genetic_perturbations:C2_CGP_869_LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_869_LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP",29,-1.5174,0.033,0.057,0.9902,0.5,0.81,-1.5527,0.024,0.27
"GO_BP:500829_GO_0031579_MEMBRANE_RAFT_ORGANIZATION","GO_BP","500829_GO_0031579_MEMBRANE_RAFT_ORGANIZATION",15,-1.5173,0.047,0.1,0.9838,0.49,1,1.1249,0.28,0.74
"GO_MF:489789_GO_0004435_PHOSPHATIDYLINOSITOL_PHOSPHOLIPASE_C_ACTIVITY","GO_MF","489789_GO_0004435_PHOSPHATIDYLINOSITOL_PHOSPHOLIPASE_C_ACTIVITY",28,-1.5172,0.029,0.13,-1.0875,0.34,0.85,0.9886,0.48,0.88
"KEGG_pathway:HSA04068_FOXO_SIGNALING_PATHWAY","KEGG_pathway","HSA04068_FOXO_SIGNALING_PATHWAY",132,-1.5172,0.0086,0.029,-0.8145,0.87,1,-1.0716,0.28,0.57
"C1_Positional:C1_ALL_103_CHR6Q23","C1_Positional","C1_ALL_103_CHR6Q23",51,-1.5171,0.015,0.28,1.0873,0.32,0.63,-1.1584,0.21,0.68
"GO_BP:491800_GO_0006957_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY","GO_BP","491800_GO_0006957_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY",13,-1.5171,0.027,0.1,-1.0371,0.4,0.98,1.1556,0.28,0.73
"REACTOME:106396_REACT_9020_TOLL_LIKE_RECEPTOR_7_8_TLR7_8_CASCADE","REACTOME","106396_REACT_9020_TOLL_LIKE_RECEPTOR_7_8_TLR7_8_CASCADE",89,-1.517,0.0076,0.12,-0.5606,1,1,-1.2116,0.13,0.59
"REACTOME:645332_REACT_121175_PI_METABOLISM","REACTOME","645332_REACT_121175_PI_METABOLISM",51,-1.517,0.018,0.12,-0.7999,0.84,1,-0.9317,0.56,0.93
"GO_BP:514462_GO_0060907_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION","GO_BP","514462_GO_0060907_POSITIVE_REGULATION_OF_MACROPHAGE_CYTOKINE_PRODUCTION",8,-1.517,0.029,0.1,0.993,0.45,0.99,0.8718,0.6,0.96
"C7_Immunologic_signatures:C7_ALL_1880_GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_1880_GSE9650_EXHAUSTED_VS_MEMORY_CD8_TCELL_DN",199,-1.5169,0.0011,0.005,1.5542,0,0.0058,-1.1451,0.17,0.38
"GO_BP:513612_GO_0060054_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_WOUND_HEALING","GO_BP","513612_GO_0060054_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION_INVOLVED_IN_WOUND_HEALING",5,-1.5168,0.028,0.1,-1.6069,0.014,0.71,-1.7613,0.0058,0.64
"C2_Chemical_and_genetic_perturbations:C2_CGP_3329_BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE","C2_Chemical_and_genetic_perturbations","C2_CGP_3329_BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE",78,-1.5167,0.016,0.057,1.3583,0.036,0.33,-1.9588,0,0.063
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_55_BIOCARTA_P35ALZHEIMERS_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_55_BIOCARTA_P35ALZHEIMERS_PATHWAY",11,-1.5167,0.048,0.12,-1.0868,0.35,1,-1.3524,0.12,0.47
"C3_TF_targets:C3_TFT_514_SMTTTTGT_UNKNOWN","C3_TF_targets","C3_TFT_514_SMTTTTGT_UNKNOWN",394,-1.5166,0,0.019,-1.1155,0.16,0.5,-1.1188,0.12,0.49
"C4_Cancer_modules:C4_CM_259_MODULE_294","C4_Cancer_modules","C4_CM_259_MODULE_294",18,-1.5165,0.036,0.05,-0.4326,1,1,-1.79,0.01,0.05
"C7_Immunologic_signatures:C7_ALL_1361_GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP","C7_Immunologic_signatures","C7_ALL_1361_GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP",185,-1.5164,0.0058,0.005,-1.1292,0.19,1,-1.2429,0.045,0.2
"GO_MF:490311_GO_0005024_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATED_RECEPTOR_ACTIVITY","GO_MF","490311_GO_0005024_TRANSFORMING_GROWTH_FACTOR_BETA_ACTIVATED_RECEPTOR_ACTIVITY",16,-1.5164,0.041,0.13,-0.6461,0.92,1,0.9293,0.54,0.94
"C6_Oncogenic_signatures:C6_ALL_20_CYCLIN_D1_UP_V1_UP","C6_Oncogenic_signatures","C6_ALL_20_CYCLIN_D1_UP_V1_UP",184,-1.5164,0.0057,0.011,-1.0727,0.28,0.6,-0.8577,0.84,0.88
"C3_TF_targets:C3_TFT_268_V_STAT5A_01","C3_TF_targets","C3_TFT_268_V_STAT5A_01",246,-1.5164,0,0.019,-0.8869,0.78,0.98,-0.9659,0.57,0.81
"GO_BP:492900_GO_0008654_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS","GO_BP","492900_GO_0008654_PHOSPHOLIPID_BIOSYNTHETIC_PROCESS",213,-1.5163,0.0011,0.1,-0.6968,1,1,-1.0008,0.43,0.85
"C3_TF_targets:C3_TFT_105_V_HSF1_01","C3_TF_targets","C3_TFT_105_V_HSF1_01",260,-1.5163,0,0.019,-1.3943,0.0066,0.17,-1.3147,0.019,0.26
"GO_BP:514859_GO_0061314_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT","GO_BP","514859_GO_0061314_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT",9,-1.5163,0.046,0.1,-1.2421,0.2,0.91,-0.9021,0.58,0.92
"KEGG_compound:C06002__S_METHYLMALONATE_SEMIALDEHYDE","KEGG_compound","C06002__S_METHYLMALONATE_SEMIALDEHYDE",11,-1.5161,0.047,0.15,0.6509,0.92,1,-1.3055,0.16,0.36
"GO_BP:755310_GO_2001204_REGULATION_OF_OSTEOCLAST_DEVELOPMENT","GO_BP","755310_GO_2001204_REGULATION_OF_OSTEOCLAST_DEVELOPMENT",7,-1.5161,0.033,0.1,-0.7123,0.84,1,0.7539,0.77,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_266_DITTMER_PTHLH_TARGETS_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_266_DITTMER_PTHLH_TARGETS_DN",72,-1.5161,0.012,0.057,1.2214,0.13,0.47,-0.8558,0.76,0.92
"C2_Chemical_and_genetic_perturbations:C2_CGP_955_GOERING_BLOOD_HDL_CHOLESTEROL_QTL_CIS","C2_Chemical_and_genetic_perturbations","C2_CGP_955_GOERING_BLOOD_HDL_CHOLESTEROL_QTL_CIS",12,-1.516,0.051,0.057,1.1649,0.26,0.54,-1.0666,0.37,0.67
"C7_Immunologic_signatures:C7_ALL_1408_GSE360_CTRL_VS_L_DONOVANI_DC_DN","C7_Immunologic_signatures","C7_ALL_1408_GSE360_CTRL_VS_L_DONOVANI_DC_DN",195,-1.516,0,0.0051,0.8411,0.88,1,1.1843,0.097,0.77
"C2_Chemical_and_genetic_perturbations:C2_CGP_1816_KAAB_HEART_ATRIUM_VS_VENTRICLE_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_1816_KAAB_HEART_ATRIUM_VS_VENTRICLE_DN",257,-1.516,0.0011,0.057,1.4155,0.005,0.28,-1.1405,0.13,0.59
"GO_MF:503440_GO_0034235_GPI_ANCHOR_BINDING","GO_MF","503440_GO_0034235_GPI_ANCHOR_BINDING",8,-1.5159,0.031,0.13,-0.6109,0.94,1,-1.3812,0.11,0.52
"C2_BioCarta_Pathways:C2_CP_BIOCARTA_135_BIOCARTA_CCR5_PATHWAY","C2_BioCarta_Pathways","C2_CP_BIOCARTA_135_BIOCARTA_CCR5_PATHWAY",17,-1.5158,0.023,0.12,0.7117,0.85,1,1.1438,0.28,1
"GO_BP:505287_GO_0042113_B_CELL_ACTIVATION","GO_BP","505287_GO_0042113_B_CELL_ACTIVATION",132,-1.5157,0.0037,0.1,-0.7689,0.95,1,-1.6002,0.0021,0.51
"GO_BP:503349_GO_0034143_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY","GO_BP","503349_GO_0034143_REGULATION_OF_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY",14,-1.5156,0.046,0.1,-0.9835,0.45,1,0.7637,0.79,1
"GO_BP:506555_GO_0043524_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GO_BP","506555_GO_0043524_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS",129,-1.5156,0.007,0.1,-1.0983,0.26,0.95,0.9571,0.53,0.9
"GO_MF:492768_GO_0008484_SULFURIC_ESTER_HYDROLASE_ACTIVITY","GO_MF","492768_GO_0008484_SULFURIC_ESTER_HYDROLASE_ACTIVITY",17,-1.5155,0.041,0.13,-1.0881,0.34,0.85,-1.0949,0.33,0.7
"GO_CC:487081_GO_0000788_NUCLEAR_NUCLEOSOME","GO_CC","487081_GO_0000788_NUCLEAR_NUCLEOSOME",37,-1.5155,0.034,0.13,-1.8062,0,0.22,-1.6551,0.0041,0.46
"GO_MF:490562_GO_0015291_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY","GO_MF","490562_GO_0015291_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",191,-1.5155,0.0023,0.13,-1.4828,0.0051,0.59,-1.0964,0.22,0.7
"REACTOME:905992_REACT_169325_ONCOGENE_INDUCED_SENESCENCE","REACTOME","905992_REACT_169325_ONCOGENE_INDUCED_SENESCENCE",30,-1.5154,0.032,0.12,0.6841,0.94,1,-1.4796,0.029,0.38
"GO_BP:491631_GO_0006750_GLUTATHIONE_BIOSYNTHETIC_PROCESS","GO_BP","491631_GO_0006750_GLUTATHIONE_BIOSYNTHETIC_PROCESS",16,-1.5153,0.041,0.1,0.5121,0.99,1,-1.5029,0.053,0.53
"GO_BP:489025_GO_0003231_CARDIAC_VENTRICLE_DEVELOPMENT","GO_BP","489025_GO_0003231_CARDIAC_VENTRICLE_DEVELOPMENT",93,-1.5152,0.0074,0.1,0.9031,0.7,1,1.3201,0.045,0.66
"GO_BP:750938_GO_0036015_RESPONSE_TO_INTERLEUKIN_3","GO_BP","750938_GO_0036015_RESPONSE_TO_INTERLEUKIN_3",5,-1.5151,0.022,0.1,0.6348,0.89,1,0.8488,0.61,0.98
"C7_Immunologic_signatures:C7_ALL_1790_GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_DN","C7_Immunologic_signatures","C7_ALL_1790_GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_DN",198,-1.5151,0.0022,0.0051,-0.5914,1,1,-1.3366,0.016,0.11
"GO_BP:493923_GO_0009820_ALKALOID_METABOLIC_PROCESS","GO_BP","493923_GO_0009820_ALKALOID_METABOLIC_PROCESS",11,-1.515,0.039,0.1,-1.1935,0.24,0.9,-1.4051,0.12,0.58
"C2_Chemical_and_genetic_perturbations:C2_CGP_779_KORKOLA_YOLK_SAC_TUMOR","C2_Chemical_and_genetic_perturbations","C2_CGP_779_KORKOLA_YOLK_SAC_TUMOR",61,-1.515,0.018,0.058,-0.9659,0.51,1,-1.0818,0.31,0.65
"C0_Hallmark:H_ALL_39_HALLMARK_UV_RESPONSE_DN","C0_Hallmark","H_ALL_39_HALLMARK_UV_RESPONSE_DN",144,-1.515,0.0036,0.0088,1.245,0.075,0.17,1.1901,0.1,0.27
"GO_BP:511798_GO_0050854_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY","GO_BP","511798_GO_0050854_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",35,-1.5149,0.032,0.1,0.7853,0.83,1,-0.9317,0.56,0.9
"GO_MF:490525_GO_0005319_LIPID_TRANSPORTER_ACTIVITY","GO_MF","490525_GO_0005319_LIPID_TRANSPORTER_ACTIVITY",91,-1.5149,0.014,0.13,-1.2602,0.11,0.84,1.2506,0.11,0.66
"GO_BP:499492_GO_0030033_MICROVILLUS_ASSEMBLY","GO_BP","499492_GO_0030033_MICROVILLUS_ASSEMBLY",17,-1.5149,0.043,0.1,0.7034,0.88,1,-1.2407,0.17,0.69
"GO_BP:754650_GO_1901699_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND","GO_BP","754650_GO_1901699_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND",493,-1.5148,0,0.1,-0.8063,1,1,-1.0846,0.18,0.79
"GO_BP:491606_GO_0006720_ISOPRENOID_METABOLIC_PROCESS","GO_BP","491606_GO_0006720_ISOPRENOID_METABOLIC_PROCESS",117,-1.5148,0.0061,0.1,-1.1151,0.24,0.94,-1.0738,0.31,0.8
"C2_Chemical_and_genetic_perturbations:C2_CGP_2811_FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2811_FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP",62,-1.5146,0.017,0.058,0.7492,0.92,1,-1.303,0.091,0.43
"GO_BP:512323_GO_0051445_REGULATION_OF_MEIOTIC_CELL_CYCLE","GO_BP","512323_GO_0051445_REGULATION_OF_MEIOTIC_CELL_CYCLE",36,-1.5145,0.027,0.1,-1.2288,0.17,0.89,-1.5699,0.011,0.52
"GO_BP:492270_GO_0007517_MUSCLE_ORGAN_DEVELOPMENT","GO_BP","492270_GO_0007517_MUSCLE_ORGAN_DEVELOPMENT",262,-1.5145,0.0011,0.1,-1.0978,0.2,0.95,-1.2186,0.061,0.71
"C4_Cancer_gene_neighborhoods:C4_CGN_422_GNF2_TTK","C4_Cancer_gene_neighborhoods","C4_CGN_422_GNF2_TTK",39,-1.5145,0.022,0.052,0.8131,0.78,0.98,-1.5909,0.012,0.072
"C2_Chemical_and_genetic_perturbations:C2_CGP_3316_KINNEY_DNMT1_METHYLATION_TARGETS","C2_Chemical_and_genetic_perturbations","C2_CGP_3316_KINNEY_DNMT1_METHYLATION_TARGETS",13,-1.5144,0.05,0.058,-0.8354,0.69,1,-0.9339,0.56,0.84
"GO_BP:512165_GO_0051279_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL","GO_BP","512165_GO_0051279_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL",62,-1.5144,0.02,0.1,1.1191,0.26,0.88,0.8458,0.76,0.98
"GO_BP:508658_GO_0046395_CARBOXYLIC_ACID_CATABOLIC_PROCESS","GO_BP","508658_GO_0046395_CARBOXYLIC_ACID_CATABOLIC_PROCESS",196,-1.5143,0.0011,0.1,0.8878,0.76,1,-1.3458,0.0099,0.61
"GO_BP:499134_GO_0021854_HYPOTHALAMUS_DEVELOPMENT","GO_BP","499134_GO_0021854_HYPOTHALAMUS_DEVELOPMENT",24,-1.5141,0.044,0.1,0.774,0.82,1,-0.8062,0.76,0.99
"GO_BP:502067_GO_0032845_NEGATIVE_REGULATION_OF_HOMEOSTATIC_PROCESS","GO_BP","502067_GO_0032845_NEGATIVE_REGULATION_OF_HOMEOSTATIC_PROCESS",90,-1.514,0.01,0.1,0.9172,0.66,1,-0.8257,0.82,0.97
"GO_MF:504358_GO_0035173_HISTONE_KINASE_ACTIVITY","GO_MF","504358_GO_0035173_HISTONE_KINASE_ACTIVITY",20,-1.5139,0.037,0.13,-0.8032,0.77,1,-1.4725,0.049,0.42
"C2_Chemical_and_genetic_perturbations:C2_CGP_447_GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_447_GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP",186,-1.5139,0.0011,0.058,0.7241,1,1,0.8938,0.75,1
"C7_Immunologic_signatures:C7_ALL_818_GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_818_GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN",196,-1.5138,0,0.0053,0.7809,0.98,1,-1.3807,0.014,0.074
"GO_BP:1184555_GO_1904031_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY","GO_BP","1184555_GO_1904031_POSITIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY",20,-1.5135,0.04,0.1,-0.9587,0.52,1,-0.8725,0.64,0.95
"C2_Chemical_and_genetic_perturbations:C2_CGP_574_WONG_ENDMETRIUM_CANCER_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_574_WONG_ENDMETRIUM_CANCER_UP",25,-1.5135,0.026,0.058,-1.0851,0.31,0.94,1.0292,0.44,0.93
"C2_Chemical_and_genetic_perturbations:C2_CGP_1169_SHIN_B_CELL_LYMPHOMA_CLUSTER_7","C2_Chemical_and_genetic_perturbations","C2_CGP_1169_SHIN_B_CELL_LYMPHOMA_CLUSTER_7",27,-1.5134,0.032,0.058,-1.7019,0.0074,0.34,-1.4036,0.061,0.35
"C4_Cancer_modules:C4_CM_158_MODULE_168","C4_Cancer_modules","C4_CM_158_MODULE_168",22,-1.5133,0.037,0.051,-0.8324,0.72,0.97,-1.1961,0.2,0.41
"GO_BP:491700_GO_0006835_DICARBOXYLIC_ACID_TRANSPORT","GO_BP","491700_GO_0006835_DICARBOXYLIC_ACID_TRANSPORT",63,-1.5133,0.016,0.1,-1.1881,0.19,0.9,-1.1039,0.28,0.77
"GO_MF:500653_GO_0031402_SODIUM_ION_BINDING","GO_MF","500653_GO_0031402_SODIUM_ION_BINDING",6,-1.5132,0.037,0.13,-1.5092,0.052,0.55,-1.356,0.13,0.52
"C7_Immunologic_signatures:C7_ALL_1075_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP","C7_Immunologic_signatures","C7_ALL_1075_GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_UP",195,-1.513,0,0.0053,0.9488,0.61,0.9,-1.184,0.094,0.31
"GO_BP:513893_GO_0060337_TYPE_I_INTERFERON_SIGNALING_PATHWAY","GO_BP","513893_GO_0060337_TYPE_I_INTERFERON_SIGNALING_PATHWAY",65,-1.513,0.0093,0.1,1.1939,0.16,0.79,-1.6762,0.004,0.58
"C7_Immunologic_signatures:C7_ALL_800_GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_800_GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN",200,-1.5129,0,0.0053,0.695,1,1,-1.3922,0.0061,0.067
"GO_BP:506359_GO_0043299_LEUKOCYTE_DEGRANULATION","GO_BP","506359_GO_0043299_LEUKOCYTE_DEGRANULATION",31,-1.5129,0.022,0.1,0.9779,0.49,1,-1.0929,0.33,0.78
"GO_BP:518898_GO_2000251_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION","GO_BP","518898_GO_2000251_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION",12,-1.5128,0.039,0.1,-1.0692,0.38,0.96,-1.5626,0.043,0.52
"C7_Immunologic_signatures:C7_ALL_1826_GSE7852_TREG_VS_TCONV_DN","C7_Immunologic_signatures","C7_ALL_1826_GSE7852_TREG_VS_TCONV_DN",200,-1.5128,0,0.0053,0.7298,1,1,-0.8471,0.89,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_2659_CROONQUIST_IL6_DEPRIVATION_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2659_CROONQUIST_IL6_DEPRIVATION_DN",98,-1.5128,0.009,0.058,-0.762,0.93,1,-1.887,0,0.082
"C7_Immunologic_signatures:C7_ALL_1288_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN","C7_Immunologic_signatures","C7_ALL_1288_GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN",197,-1.5127,0,0.0053,0.9323,0.7,0.95,-1.5431,0,0.012
"GO_BP:502007_GO_0032781_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY","GO_BP","502007_GO_0032781_POSITIVE_REGULATION_OF_ATPASE_ACTIVITY",29,-1.5127,0.036,0.1,-1.1366,0.25,0.93,-1.0655,0.36,0.8
"GO_BP:512184_GO_0051299_CENTROSOME_SEPARATION","GO_BP","512184_GO_0051299_CENTROSOME_SEPARATION",7,-1.5127,0.049,0.1,-1.0528,0.4,0.97,-1.3112,0.16,0.64
"GO_MF:495592_GO_0015368_CALCIUM_CATION_ANTIPORTER_ACTIVITY","GO_MF","495592_GO_0015368_CALCIUM_CATION_ANTIPORTER_ACTIVITY",10,-1.5126,0.027,0.13,-0.6667,0.86,1,-0.941,0.53,0.84
"C2_Chemical_and_genetic_perturbations:C2_CGP_140_DOANE_RESPONSE_TO_ANDROGEN_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_140_DOANE_RESPONSE_TO_ANDROGEN_DN",237,-1.5126,0.0022,0.058,-0.7735,0.98,1,-1.2694,0.034,0.46
"GO_BP:500602_GO_0031343_POSITIVE_REGULATION_OF_CELL_KILLING","GO_BP","500602_GO_0031343_POSITIVE_REGULATION_OF_CELL_KILLING",50,-1.5125,0.026,0.1,-0.8114,0.77,1,-1.0452,0.39,0.81
"GO_BP:488612_GO_0002739_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE","GO_BP","488612_GO_0002739_REGULATION_OF_CYTOKINE_SECRETION_INVOLVED_IN_IMMUNE_RESPONSE",11,-1.5124,0.036,0.1,-0.731,0.81,1,0.8103,0.7,1
"GO_BP:491534_GO_0006644_PHOSPHOLIPID_METABOLIC_PROCESS","GO_BP","491534_GO_0006644_PHOSPHOLIPID_METABOLIC_PROCESS",288,-1.5123,0.0011,0.1,-0.8231,0.94,1,-0.9114,0.75,0.92
